last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,sub_position,position,foot,height_in_cm
2015,398,miroslav-klose,Poland,Opole  ,Germany,Centre-Forward,Attack,right,184.0
2017,16,roman-weidenfeller,Germany,Diez  ,Germany,Goalkeeper,Goalkeeper,left,190.0
2017,27,tom-starke,East Germany (GDR),Freital  ,Germany,Goalkeeper,Goalkeeper,right,194.0
2015,11,tomas-rosicky,CSSR,Praha  ,Czech Republic,Attacking Midfield,Midfield,both,179.0
2012,79,marc-ziegler,Germany,Blieskastel  ,Germany,Goalkeeper,Goalkeeper,right,193.0
2015,1084,roque-santa-cruz,Paraguay,Asunción  ,Paraguay,Centre-Forward,Attack,right,193.0
2013,33,gerald-asamoah,Ghana,Mampong  ,Germany,Centre-Forward,Attack,right,180.0
2012,79,tamas-hajnal,Hungary,Esztergom  ,Hungary,Attacking Midfield,Midfield,both,167.0
2013,3368,sergio-da-silva-pinto,Portugal,Vila Nova de Gaia  ,Germany,Central Midfield,Midfield,right,176.0
2012,10484,fabian-ernst,Germany,Hannover  ,Germany,Defensive Midfield,Midfield,right,183.0
2014,16,sebastian-kehl,Germany,Fulda  ,Germany,Defensive Midfield,Midfield,left,187.0
2013,44,levan-kobiashvili,UdSSR,Tiflis  ,Georgia,Left Midfield,Midfield,left,183.0
2012,24,oka-nikolov,Germany,Erbach im Odenwald  ,North Macedonia,Goalkeeper,Goalkeeper,right,188.0
2019,86,claudio-pizarro,Peru,Callao  ,Peru,Centre-Forward,Attack,right,184.0
2012,167,simon-jentzsch,Germany,Düsseldorf  ,Germany,Goalkeeper,Goalkeeper,right,196.0
2012,86,christian-vander,Germany,Willich  ,Germany,Goalkeeper,Goalkeeper,right,195.0
2014,15,simon-rolfes,Germany,Ibbenbüren  ,Germany,Defensive Midfield,Midfield,left,191.0
2013,1210,giuseppe-gemiti,Germany,Frankfurt am Main  ,Germany,Left-Back,Defender,left,178.0
2012,14171,david-jarolim,CSSR,Čáslav  ,Czech Republic,Central Midfield,Midfield,right,174.0
2013,4,hanno-balitsch,Germany,Darmstadt  ,Germany,Defensive Midfield,Midfield,right,182.0
2012,1506,selim-teber,Germany,Frankenthal  ,Germany,Central Midfield,Midfield,right,187.0
2014,18,thorben-marx,Germany,Berlin  ,Germany,Defensive Midfield,Midfield,right,184.0
2012,38,jens-langeneke,Germany,Lippstadt  ,Germany,Centre-Back,Defender,right,185.0
2015,2293,ugur-inceman,Germany,Aachen  ,Turkey,Central Midfield,Midfield,right,183.0
2012,38,christian-weber,Germany,Saarbrücken  ,Germany,Right-Back,Defender,right,175.0
2013,4,emanuel-pogatetz,Austria,Graz  ,Austria,Centre-Back,Defender,left,191.0
2012,65,thomas-kleine,Germany,Wermelskirchen  ,Germany,Centre-Back,Defender,right,191.0
2017,18,christofer-heimeroth,Germany,Unna  ,Germany,Goalkeeper,Goalkeeper,right,194.0
2013,46,javier-zanetti,Argentina,Dock Sud  ,Argentina,Right-Back,Defender,right,178.0
2019,127,michael-ratajczak,Germany,Herne  ,Germany,Goalkeeper,Goalkeeper,right,188.0
2016,86,clemens-fritz,East Germany (GDR),Erfurt  ,Germany,Right-Back,Defender,right,183.0
2013,114,jermaine-jones,Germany,Frankfurt am Main  ,United States,Defensive Midfield,Midfield,both,184.0
2016,1159,alou-diarra,France,Villepinte  ,France,Defensive Midfield,Midfield,right,189.0
2013,42,steven-cherundolo,United States,"Rockford, Illinois  ",United States,Right-Back,Defender,right,172.0
2015,33,christian-wetklo,Germany,Marl  ,Germany,Goalkeeper,Goalkeeper,right,190.0
2012,512,michael-owen,England,Chester  ,England,Centre-Forward,Attack,both,173.0
2015,855,lars-jacobsen,Denmark,Odense  ,Denmark,Right-Back,Defender,both,181.0
2013,79,cacau,Brazil,Santo André  ,Germany,Centre-Forward,Attack,right,179.0
2013,60,mike-hanke,Germany,Hamm  ,Germany,Centre-Forward,Attack,right,185.0
2014,190,christian-poulsen,Denmark,Asnæs  ,Denmark,Defensive Midfield,Midfield,right,181.0
2012,24,heiko-butscher,Germany,Leutkirch im Allgäu  ,Germany,Centre-Back,Defender,both,189.0
2017,24,alexander-meier,Germany,Buchholz in der Nordheide  ,Germany,Second Striker,Attack,right,196.0
2012,38,stefan-reisinger,Germany,Landshut  ,Germany,Centre-Forward,Attack,right,185.0
2013,162,andreas-wolf,UdSSR,Leninabad  ,Germany,Centre-Back,Defender,right,182.0
2015,42,christian-schulz,Germany,Bassum  ,Germany,Centre-Back,Defender,left,185.0
2012,42,mario-eggimann,Switzerland,Brugg  ,Switzerland,Centre-Back,Defender,right,190.0
2012,2414,morten-rasmussen,Denmark,Hvidovre  ,Denmark,Centre-Back,Defender,right,188.0
2013,23,dennis-kruppke,Germany,Münster  ,Germany,Second Striker,Attack,both,179.0
2019,162,diego-benaglio,Switzerland,Zürich  ,Switzerland,Goalkeeper,Goalkeeper,right,194.0
2012,65,milorad-pekovic,Jugoslawien (SFR),Nikšić  ,Montenegro,Defensive Midfield,Midfield,left,189.0
2012,6996,david-odonkor,Germany,Bünde  ,Germany,Right Winger,Attack,right,172.0
2014,173,jesper-christiansen,Denmark,Roskilde  ,Denmark,Goalkeeper,Goalkeeper,left,194.0
2016,610,heiko-westermann,Germany,Alzenau  ,Germany,Centre-Back,Defender,right,190.0
2015,105,patrick-platins,Germany,Immenstadt im Allgäu  ,Germany,Goalkeeper,Goalkeeper,right,190.0
2012,38,du-ri-cha,Germany,Frankfurt am Main  ,"Korea, South",Right-Back,Defender,right,181.0
2016,167,halil-altintop,Germany,Gelsenkirchen  ,Turkey,Attacking Midfield,Midfield,right,185.0
2016,105,hamit-altintop,Germany,Gelsenkirchen  ,Turkey,Right Midfield,Midfield,right,183.0
2015,19771,ahmet-cebe,Germany,Krefeld  ,Germany,Right-Back,Defender,right,181.0
2013,23,deniz-dogan,Germany,Lübeck  ,Turkey,Centre-Back,Defender,left,181.0
2016,167,markus-feulner,Germany,Scheßlitz  ,Germany,Central Midfield,Midfield,right,183.0
2014,24,nelson-valdez,Paraguay,Caaguazú  ,Paraguay,Centre-Forward,Attack,right,179.0
2017,40426,mladen-kascelan,Jugoslawien (SFR),Kotor  ,Montenegro,Defensive Midfield,Midfield,right,178.0
2014,16,oliver-kirch,Germany,Soest  ,Germany,Defensive Midfield,Midfield,right,182.0
2018,4,patric-klandt,Germany,Frankfurt am Main  ,Germany,Goalkeeper,Goalkeeper,right,184.0
2014,127,lukas-kruse,Germany,Paderborn  ,Germany,Goalkeeper,Goalkeeper,right,185.0
2016,27,philipp-lahm,Germany,München  ,Germany,Right-Back,Defender,right,170.0
2014,42,markus-miller,Germany,Lindenberg im Allgäu  ,Germany,Goalkeeper,Goalkeeper,right,189.0
2012,121,zvjezdan-misimovic,Germany,München  ,Bosnia-Herzegovina,Attacking Midfield,Midfield,both,179.0
2014,44,marcel-ndjeng,Germany,Bonn  ,Cameroon,Right Midfield,Midfield,right,180.0
2014,82,patrick-ochs,Germany,Frankfurt am Main  ,Germany,Right-Back,Defender,right,179.0
2012,16,patrick-owomoyela,Germany,Hamburg  ,Germany,Right-Back,Defender,right,187.0
2013,23,marjan-petkovic,Germany,Brackenheim  ,Germany,Goalkeeper,Goalkeeper,right,186.0
2019,38,michael-rensing,Germany,Lingen  ,Germany,Goalkeeper,Goalkeeper,right,190.0
2014,127,mahir-saglik,Germany,Paderborn  ,Turkey,Centre-Forward,Attack,left,178.0
2016,2760,thorsten-stuckmann,Germany,Gütersloh  ,Germany,Goalkeeper,Goalkeeper,right,199.0
2015,167,piotr-trochowski,Poland,Tczew  ,Germany,Attacking Midfield,Midfield,right,169.0
2012,38,nando-rafael,Angola,Luanda  ,Angola,Centre-Forward,Attack,both,180.0
2013,2990,romuald-peiser,France,Phalsbourg  ,France,Goalkeeper,Goalkeeper,right,187.0
2022,29,eldin-jakupovic,Jugoslawien (SFR),Kozarac  ,Switzerland,Goalkeeper,Goalkeeper,right,191.0
2019,167,stephan-lichtsteiner,Switzerland,Adligenswil  ,Switzerland,Right-Back,Defender,right,182.0
2012,750,yassin-mikari,Switzerland,Zürich  ,Tunisia,Left-Back,Defender,left,172.0
2012,2292,herve-tum,Cameroon,Douala  ,Cameroon,Centre-Forward,Attack,right,184.0
2015,276,rafa-marquez,Mexico,Zamora de Hidalgo  ,Mexico,Centre-Back,Defender,right,184.0
2014,3368,andreas-ivanschitz,Austria,Eisenstadt  ,Austria,Attacking Midfield,Midfield,left,183.0
